Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteCompressiveStrength
298.200012,0,107,209.699997,11.1,879.599976,744.200012,28,31.879999
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,100,66.419998
203.5,305.299988,0,203.5,0,963.400024,630,7,19.540001
387,20,94,157,13.9,938,845,28,46.68
525,0,0,189,0,1125,613,270,67.110001
525,0,0,189,0,1125,613,90,58.779999
135.699997,203.5,0,185.699997,0,1076.199951,759.299988,28,18.200001
150,237,0,174,12,1069,675,28,37.43
166.800003,250.199997,0,203.5,0,975.599976,692.599976,7,15.75
475,118.800003,0,181.100006,8.9,852.099976,781.5,28,68.300003
500,0,0,151,9,1033,655,28,69.839996
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,14,22.32
133,200,0,192,0,927.400024,839.200012,90,36.59
500,0,0,200,0,1125,613,14,36.939999
102,153,0,192,0,887,942,90,25.459999
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,100,40.860001
339,0,0,197,0,968,781,90,35.169998
331,0,0,192,0,978,825,180,39
160,188,146,203,11,829,710,28,32.84
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,28,55.509998
165,0,150,182,12,1023,729,28,18.030001
332.5,142.5,0,228,0,932,594,28,33.02
236,0,0,194,0,968,885,28,18.42
379.5,151.199997,0,153.899994,15.9,1134.300049,605,3,28.6
290.200012,193.5,0,185.699997,0,998.200012,704.299988,28,33.040001
310,0,0,192,0,1012,830,28,27.83
159,209,161,201,7,848,669,28,30.879999
249.100006,0,98.800003,158.100006,12.8,987.799988,889,100,51.060001
250,0,95.699997,191.800003,5.3,948.900024,857.200012,28,27.219999
374,189.199997,0,170.100006,10.1,926.099976,756.700012,3,34.400002
238.100006,0,94.099998,186.699997,7,949.900024,847,14,25.690001
277,0,0,191,0,968,856,28,25.969999
102,153,0,192,0,887,942,7,7.68
374,0,0,190,7,1013,730,28,39.049999
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,100,48.669998
147.800003,175.100006,0,171.199997,2.2,1000,828.5,28,26.92
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,28,45.939999
375,93.800003,0,126.599998,23.4,852.099976,992.599976,91,62.5
198.600006,132.399994,0,192,0,978.400024,825.5,3,9.13
296,0,0,192,0,1085,765,7,14.2
296,0,0,192,0,1085,765,90,29.389999
475,0,0,162,9.5,1044,662,28,58.52
190,190,0,228,0,932,670,90,42.330002
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,28,33.939999
284,15,141,179,5.5,842,801,3,13.4
158.800003,238.199997,0,185.699997,0,1040.599976,734.299988,7,9.62
332.5,142.5,0,228,0,932,594,7,30.280001
122.599998,183.899994,0,203.5,0,958.200012,800.099976,3,3.32
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,100,56.060001
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,14,20.92
202,11,141,206,1.7,942,801,3,9.85
200,0,0,180,0,1125,845,7,7.84
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,28,21.540001
266,114,0,228,0,932,670,90,47.029999
237.5,237.5,0,228,0,932,594,365,39
380,95,0,228,0,932,594,365,43.700001
151.800003,178.100006,138.699997,167.5,18.299999,944,694.599976,28,36.349998
475,0,0,228,0,932,594,365,41.93
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,14,35.23
540,0,0,173,0,1125,613,180,71.620003
446,24,79,162,11.6,967,712,3,35.360001
157,236,0,192,0,935.400024,781.200012,3,9.69
425,106.300003,0,153.5,16.5,852.099976,887.099976,3,33.400002
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,14,35.959999
250,0,95.699997,187.399994,5.5,956.900024,861.200012,56,38.330002
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,3,21.290001
155,0,143,193,9,877,868,28,9.74
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,28,24.24
287.299988,120.5,93.900002,187.600006,9.2,904.400024,695.900024,28,43.799999
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,28,31.639999
480,0,0,192,0,936.200012,712.200012,3,24.4
277,116.800003,91,190.600006,7,946.5,665.599976,28,43.580002
349,0,0,192,0,1047,806,3,14.99
298,0,107,186,6,879,815,28,42.639999
359,19,141,154,10.9,942,801,56,68.75
304,76,0,228,0,932,670,180,50.950001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,3,35.299999
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,3,28.1
446,24,79,162,11.6,967,712,28,44.419998
300,0,120,212,10,878,728,28,23.84
290.399994,0,96.199997,168.100006,9.4,961.200012,865,3,22.5
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,56,34.200001
424,22,132,178,8.5,882,750,3,32.009998
135,105,193,196,6,965,643,28,21.91
349,0,0,192,0,1047,806,28,32.720001
312.700012,0,0,178.100006,8,999.700012,822.200012,28,25.1
385,0,0,186,0,966,763,28,31.35
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,14,19.42
322,0,0,203,0,974,800,180,29.59
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,100,49.990002
297.799988,137.199997,106.900002,201.300003,6,878.400024,655.299988,28,53.52
143.800003,136.300003,106.199997,178.100006,7.5,941.5,774.299988,28,26.15
427.5,47.5,0,228,0,932,594,270,43.009998
220.800003,147.199997,0,185.699997,0,1055,744.299988,28,25.75
150.699997,0,185.300003,166.699997,15.6,1074.5,678,28,13.46
425,106.300003,0,153.5,16.5,852.099976,887.099976,91,65.199997
397,0,0,185,0,1040,734,28,39.09
385,0,0,186,0,966,763,7,23.219999
350,0,0,203,0,974,775,28,27.34
145.399994,0,178.899994,201.699997,7.8,824,868.700012,28,10.54
359,19,141,154,10.9,942,801,28,59.490002
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,3,18
339,0,0,185,0,1069,754,7,21.16
446,24,79,162,10.3,967,712,56,54.77
333,0,0,192,0,931.200012,842.599976,90,41.68
236,0,0,193,0,968,885,7,9.99
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,91,76.800003
425,106.300003,0,153.5,16.5,852.099976,887.099976,91,65.199997
159.100006,186.699997,0,175.600006,11.3,989.599976,788.900024,28,32.77
155,184,143,194,9,880,699,28,28.99
349,0,0,192,0,1056,809,7,9.01
140,133,103,200,7,916,753,28,36.439999
153,145,113,178,8,1002,689,28,25.559999
332.5,142.5,0,228,0,932,594,270,40.27
387,20,94,157,13.9,938,845,3,25.51
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,7,46.900002
540,0,0,173,0,1125,613,7,52.610001
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,100,48.150002
362.600006,189,0,164.899994,11.6,944.700012,755.799988,7,55.900002
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,100,52.959999
167,75.400002,167,164,7.9,1007.299988,770.099976,56,53.459999
380,95,0,228,0,932,594,28,36.450001
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,28,67.699997
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,28,55.5
500,0,0,200,0,1125,613,7,33.209999
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,3,27.42
231.800003,0,121.599998,174,6.7,1056.400024,778.5,100,45.84
255,0,0,192,0,889.799988,945,90,21.860001
164,163,128,197,8,961,641,28,27.23
154,174,185,228,7,845,612,28,24.34
424,22,132,168,8.9,822,750,28,72.099998
250,0,95.699997,191.800003,5.3,948.900024,857.200012,14,24.66
149,139,109,193,6,892,780,28,23.690001
316.100006,210.699997,0,185.699997,0,977,689.299988,7,24.440001
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,14,41.889999
446,24,79,162,10.3,967,712,28,53.389999
475,0,0,228,0,932,594,28,39.290001
139.600006,209.399994,0,192,0,1047,806.900024,180,44.209999
273,105,82,210,9,904,680,28,37.169998
212,0,124.800003,159,7.8,1085.400024,799.5,56,45.080002
157,236,0,192,0,935.400024,781.200012,28,33.66
170.300003,155.5,0,185.699997,0,1026.599976,724.299988,7,10.73
312.700012,144.699997,0,127.300003,8,999.700012,822.200012,28,44.52
238,0,0,185,0,1118,789,28,17.540001
237.5,237.5,0,228,0,932,594,270,38.41
296,0,0,186,0,1090,769,7,18.91
181.899994,272.799988,0,185.699997,0,1012.400024,714.299988,7,12.37
252,0,0,185,0,1111,784,28,19.690001
255,0,0,192,0,889.799988,945,7,10.22
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,91,75.5
299.799988,0,119.800003,211.5,9.9,878.200012,727.599976,28,23.84
289,134,0,195,6,924,760,28,46.240002
148,175,0,171,2,1000,828,28,26.92
166.800003,250.199997,0,203.5,0,975.599976,692.599976,90,43.57
252.5,0,0,185.699997,0,1111.599976,784.299988,28,19.77
349,0,0,192,0,1047,806,7,18.129999
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,14,30.389999
540,0,0,162,2.5,1055,676,28,61.889999
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,56,28.629999
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,3,20.73
210.699997,316.100006,0,185.699997,0,977,689.299988,7,21.82
153,102,0,192,0,888,943.099976,90,26.32
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,100,40.389999
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,28,63.139999
500,0,0,200,0,1125,613,3,26.059999
307,0,0,193,0,968,812,365,36.150002
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,14,24.99
337.899994,189,0,174.899994,9.5,944.700012,755.799988,28,49.900002
230,0,118.300003,195.5,4.6,1029.400024,758.599976,3,10.03
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,3,17.57
480,0,0,192,0,936.200012,712.200012,90,54.32
314,0,113,170,10,925,783,28,38.459999
425,106.300003,0,153.5,16.5,852.099976,887.099976,7,49.200001
305,0,100,196,10,959,705,28,30.120001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,3,35.299999
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,100,59.299999
313,145,0,178,8,1002,689,28,41.049999
285,190,0,163,7.6,1031,685,28,53.580002
288,192,0,192,0,932,717.799988,28,38.799999
230,0,118.300003,195.5,4.6,1029.400024,758.599976,28,24.48
288,192,0,192,0,932,717.799988,7,23.52
212,141.300003,0,203.5,0,973.400024,750,90,39.700001
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,56,31.719999
520,0,0,175,5.2,870,805,28,51.02
304,76,0,228,0,932,670,90,49.189999
309.899994,142.800003,111.199997,167.800003,22.1,913.900024,651.200012,28,38.220001
289,133.699997,0,194.899994,5.5,924.099976,760.099976,28,46.25
153.600006,144.199997,112.300003,220.100006,10.1,923.200012,657.900024,28,16.5
238.100006,0,0,185.699997,0,1118.800049,789.299988,28,17.58
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,56,48.720001
252,97,76,194,8,835,821,28,33.400002
186.199997,124.099998,0,185.699997,0,1083.400024,764.299988,28,17.6
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,14,33.009998
148.100006,0,136.600006,158.100006,16.1,1001.799988,830.099976,28,17.959999
540,0,0,173,0,1125,613,3,41.639999
331,0,0,192,0,978,825,28,31.450001
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,100,49.970001
277,0,0,191,0,968,856,180,32.330002
233.800003,0,94.599998,197.899994,4.6,947,852.200012,14,22.139999
203.5,305.299988,0,203.5,0,963.400024,630,90,51.860001
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,100,56.740002
203.5,135.699997,0,185.699997,0,1076.199951,759.299988,28,22.629999
164.199997,0,200.100006,181.199997,12.6,849.299988,846,28,15.09
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,56,43.5
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,28,24.889999
522,0,0,146,0,896,896,28,74.989998
380,0,0,228,0,932,670,90,52.91
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56,77.300003
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,28,25.719999
300,0,0,184,0,1075,795,7,15.58
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,100,66.949997
382,0,0,186,0,1111,784,7,11.47
322.5,148.600006,0,185.800003,8.5,951,709.5,28,52.43
337.899994,189,0,174.899994,9.5,944.700012,755.799988,91,67.800003
382,0,0,185,0,1047,739,7,24
233.800003,0,94.599998,197.899994,4.6,947,852.200012,28,22.84
331,0,0,192,0,978,825,3,13.52
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,100,42.919998
146,230,0,202,3,827,872,28,33.060001
342,38,0,228,0,932,670,90,50.459999
250.199997,166.800003,0,203.5,0,977.599976,694.099976,28,36.959999
170.300003,155.5,0,185.699997,0,1026.599976,724.299988,28,25.73
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,100,33.560001
255,99,77,189,6,919,749,28,33.799999
122.599998,183.899994,0,203.5,0,958.200012,800.099976,28,24.290001
231.800003,0,121.599998,174,6.7,1056.400024,778.5,28,33.73
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,3,17.370001
290.399994,0,96.199997,168.100006,9.4,961.200012,865,28,34.740002
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,28,27.77
173,116,0,192,0,946.799988,856.799988,90,32.099998
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,28,38.200001
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,28,41.200001
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,3,13.54
167,75.400002,167,164,7.9,1007.299988,770.099976,3,15.52
525,0,0,189,0,1125,613,180,61.919998
166,260,0,183,13,859,827,28,37.91
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,100,39.610001
298.100006,0,107.5,163.600006,12.8,953.200012,784,28,35.869999
385,0,136,158,20,903,768,28,55.549999
183.899994,122.599998,0,203.5,0,959.200012,800,7,10.79
323.700012,282.799988,0,183.800003,10.3,942.700012,659.900024,7,49.799999
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,3,19.42
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28,71.300003
284,119.699997,0,168.300003,7.2,970.400024,794.200012,28,40.93
155.199997,183.899994,143.199997,193.800003,9.2,879.599976,698.5,28,28.99
162,207,172,216,10,822,638,28,39.84
157,236,0,192,0,935.400024,781.200012,90,43.380001
264.5,111,86.5,195.5,5.9,832.599976,790.400024,28,41.540001
250,0,95.699997,187.399994,5.5,956.900024,861.200012,14,24.92
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,28,24.9
425,106.300003,0,153.5,16.5,852.099976,887.099976,28,60.290001
374.299988,0,0,190.199997,6.7,1013.200012,730.400024,28,39.060001
359,19,141,154,10.9,942,801,7,35.75
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,56,58.799999
425,106.300003,0,153.5,16.5,852.099976,887.099976,28,60.290001
389.899994,189,0,145.899994,22,944.700012,755.799988,3,40.599998
475,0,0,228,0,932,594,90,42.23
150.899994,0,183.899994,166.600006,11.6,991.200012,772.200012,28,15.57
302,0,0,203,0,974,817,180,26.74
331,0,0,192,0,879,825,3,13.52
132,206.5,160.899994,178.899994,5.5,866.900024,735.599976,28,33.310001
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,14,38.599998
149.5,236,0,175.800003,12.6,846.799988,892.700012,28,32.959999
202,11,141,206,1.7,942,801,56,23.25
139.600006,209.399994,0,192,0,1047,806.900024,28,28.24
500.100006,0,0,200,3,1124.400024,613.200012,28,44.130001
374,189.199997,0,170.100006,10.1,926.099976,756.700012,91,64.900002
230,0,118.300003,195.5,4.6,1029.400024,758.599976,56,31.540001
380,0,0,228,0,932,670,365,52.52
317.899994,0,126.5,209.699997,5.7,860.5,736.599976,28,40.060001
200,133,0,192,0,965.400024,806.200012,3,11.41
194.699997,0,100.5,170.199997,7.5,998,901.799988,28,37.27
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,100,43.580002
307,0,0,193,0,968,812,90,32.919998
362.600006,189,0,164.899994,11.6,944.700012,755.799988,7,55.900002
389.899994,189,0,145.899994,22,944.700012,755.799988,28,74.5
350,0,0,203,0,974,775,56,29.98
212,0,124.800003,159,7.8,1085.400024,799.5,14,31.35
152.699997,144.699997,0,178.100006,8,999.700012,822.200012,28,19.01
149,236,0,176,13,847,893,28,32.959999
238,0,0,186,0,1119,789,28,17.540001
122.599998,183.899994,0,203.5,0,958.200012,800.099976,7,10.35
313,0,0,178,8,1000,822,28,25.1
284,15,141,179,5.5,842,801,56,44.52
475,118.800003,0,181.100006,8.9,852.099976,781.5,3,37.799999
230,0,118.300003,195.5,4.6,1029.400024,758.599976,14,20.08
133.100006,210.199997,0,195.699997,3.1,949.400024,795.299988,28,28.940001
349,0,0,192,0,1047,806,360,42.130001
133,200,0,192,0,927.400024,839.200012,3,6.88
300,0,0,184,0,1075,795,28,26.85
145.899994,230.5,0,202.5,3.4,827,871.799988,28,32.720001
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,100,53.66
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,3,21.02
190,190,0,228,0,932,670,365,53.689999
158.600006,148.899994,116,175.100006,15,953.299988,719.700012,28,27.68
250,0,95.699997,187.399994,5.5,956.900024,861.200012,28,29.219999
231.800003,0,121.599998,174,6.7,1056.400024,778.5,14,26.77
333,0,0,192,0,931.200012,842.599976,7,23.4
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,3,25.200001
359,19,141,154,10.9,942,801,7,38.610001
281,0,0,186,0,1104,774,28,22.440001
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,56,60.32
332.5,142.5,0,228,0,932,594,90,37.720001
165,0,143.600006,163.800003,0,1005.599976,900.900024,28,26.200001
337.899994,189,0,174.899994,9.5,944.700012,755.799988,3,24.1
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,56,37.27
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,100,56.630001
349,0,0,192,0,1047,806.900024,3,15.05
284,15,141,179,5.5,842,801,28,43.73
288.399994,121,0,177.399994,7,907.900024,829.5,28,42.139999
157,236,0,192,0,935.400024,781.200012,7,16.889999
359,19,141,154,10.9,942,801,56,66.779999
315,137,0,145,5.9,1130,745,28,81.75
393,0,0,192,0,940.599976,785.599976,7,27.74
436,0,0,218,0,838.400024,719.700012,28,23.85
491,26,123,210,3.9,882,699,56,59.59
280,129,100,172,9,825,805,28,52.82
480,0,0,192,0,936.200012,712.200012,7,34.57
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,28,50.700001
181.899994,272.799988,0,185.699997,0,1012.400024,714.299988,28,27.940001
298.100006,0,107,186.399994,6.1,879,815.200012,28,42.639999
160,128,122,182,6.4,824,879,28,39.400002
155,0,143,193,9,1047,697,28,12.46
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,28,39.939999
339,0,0,197,0,968,781,365,38.889999
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56,77.300003
198.600006,132.399994,0,192,0,978.400024,825.5,90,38.07
192,288,0,192,0,929.799988,716.099976,3,12.79
397,0,0,185.699997,0,1040.599976,734.299988,28,33.080002
525,0,0,189,0,1125,613,28,55.939999
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,56,46.639999
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,14,21.6
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,56,50.77
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,7,42.799999
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,3,11.98
277,117,91,191,7,946,666,28,43.57
212.100006,0,121.599998,180.300003,5.7,1057.599976,779.299988,3,12.47
355.899994,0,141.600006,193.300003,11,801.400024,778.400024,28,40.869999
190.699997,0,125.400002,162.100006,7.8,1090,804,56,35.34
228,342.100006,0,185.699997,0,955.799988,674.299988,28,39.700001
173,116,0,192,0,946.799988,856.799988,3,6.94
198.600006,132.399994,0,192,0,978.400024,825.5,28,28.02
173,116,0,192,0,946.799988,856.799988,7,11.39
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,100,39.23
193.5,290.200012,0,185.699997,0,998.200012,704.299988,7,17.200001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91,79.300003
342,38,0,228,0,932,670,365,56.139999
289,0,0,192,0,913.200012,895.299988,3,11.65
281,0,0,186,0,1104,774,7,14.5
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,14,17.84
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,56,29.450001
475,0,0,228,0,932,594,180,42.619999
251.399994,0,118.300003,188.5,6.4,1028.400024,757.700012,56,36.639999
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,3,13.18
289,0,0,192,0,913.200012,895.299988,28,25.57
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,3,41.299999
310,142.800003,0,167.899994,10,914.299988,804,28,45.299999
250.199997,166.800003,0,203.5,0,977.599976,694.099976,7,19.35
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,100,46.23
108.300003,162.399994,0,203.5,0,938.200012,849,28,20.59
475,118.800003,0,181.100006,8.9,852.099976,781.5,91,74.190002
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,28,44.639999
144.800003,0,133.600006,180.800003,11.1,979.5,811.5,28,13.2
339,0,0,197,0,968,781,180,36.450001
339,0,0,197,0,968,781,28,32.040001
349,0,0,192,0,1056,809,120,40.860001
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,14,31.809999
275,180,120,162,10.4,830,765,28,76.239998
251.399994,0,118.300003,188.5,6.4,1028.400024,757.700012,14,24.43
277,0,0,191,0,968,856,360,33.700001
158,0,195,220,11,898,713,28,8.54
194.699997,0,100.5,170.199997,7.5,998,901.799988,56,43.389999
116,173,0,192,0,909.799988,891.900024,3,6.28
350,0,0,203,0,974,775,90,31.35
252.300003,0,98.800003,146.300003,14.2,987.799988,889,100,60.950001
296,0,0,192,0,1085,765,28,21.65
332.5,142.5,0,228,0,932,594,180,39.779999
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,56,72.989998
313,161,0,178,10,917,759,28,52.439999
153,145,0,178,8,1000,822,28,19.01
380,95,0,228,0,932,594,180,40.759998
146,173,0,182,3,986,817,28,23.74
260.899994,100.5,78.300003,200.600006,8.6,864.5,761.5,28,32.400002
450.100006,50,0,200,3,1124.400024,613.200012,28,39.380001
325,0,0,184,0,1063,783,7,17.540001
323.700012,282.799988,0,183.800003,10.3,942.700012,659.900024,28,74.699997
133,210,0,196,3,949,795,28,31.030001
323.700012,282.799988,0,183.800003,10.3,942.700012,659.900024,3,28.299999
451,0,0,165,11.3,1030,745,28,78.800003
397,17.200001,158,167,20.799999,967,633,28,55.650002
149,117.599998,91.699997,182.899994,7.1,953.400024,780.299988,28,23.52
305.299988,203.5,0,203.5,0,965.400024,631,28,43.380001
155.600006,243.5,0,180.300003,10.7,1022,697.700012,28,37.360001
165,0,143.600006,163.800003,0,1005.599976,900.900024,14,16.879999
379.5,151.199997,0,153.899994,15.9,1134.300049,605,7,47.099998
260,101,78,171,10,936,763,28,49.77
480,0,0,192,0,936,721,28,43.889999
362.600006,189,0,164.899994,11.6,944.700012,755.799988,7,55.900002
200,133,0,192,0,965.400024,806.200012,90,43.25
192,288,0,192,0,929.799988,716.099976,7,21.48
230,0,118.300003,195.5,4.6,1029.400024,758.599976,100,35.34
310,0,0,192,0,1012,830,7,17.24
540,0,0,173,0,1125,613,28,67.309998
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,3,15.34
380,0,0,228,0,932,670,180,53.099998
192,288,0,192,0,929.799988,716.099976,28,39.32
290.399994,0,96.199997,168.100006,9.4,961.200012,865,100,48.970001
148.100006,0,182.100006,181.399994,15,838.900024,884.299988,28,15.53
475,0,59,142,1.9,1098,641,28,57.23
322.200012,0,115.599998,196,10.4,817.900024,813.400024,28,31.18
295.799988,0,0,185.699997,0,1091.400024,769.299988,28,25.219999
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,56,36.970001
167,187,195,185,7,898,636,28,23.889999
362.600006,189,0,164.899994,11.6,944.700012,755.799988,3,35.299999
334,17.6,158,189,15.3,967,633,28,44.330002
236.899994,91.699997,71.5,246.899994,6,852.900024,695.400024,28,28.629999
355,19,97,145,13.1,967,871,28,44.029999
160.199997,188,146.399994,203.199997,11.3,828.700012,709.700012,28,35.310001
116,173,0,192,0,909.799988,891.900024,7,10.09
151,0,185,167,16,1074,678,28,13.46
254,0,0,198,0,968,863,365,29.790001
310,0,0,192,0,971,850.599976,3,9.87
190,190,0,228,0,932,670,180,46.93
393,0,0,192,0,940,758,28,39.580002
186.199997,124.099998,0,185.699997,0,1083.400024,764.299988,7,8
289,0,0,192,0,913.200012,895.299988,90,32.07
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,28,48.279999
122.599998,183.899994,0,203.5,0,958.200012,800.099976,90,33.189999
236,157,0,192,0,972.599976,749.099976,90,47.779999
425,106.300003,0,153.5,16.5,852.099976,887.099976,91,65.199997
200,133,0,192,0,965.400024,806.200012,7,17.17
251.399994,0,118.300003,188.5,6.4,1028.400024,757.700012,3,13.12
143.600006,0,174.899994,158.399994,17.9,942.700012,844.5,28,15.42
475,0,0,228,0,932,594,270,42.130001
313.299988,0,113,178.5,8,1001.900024,688.700012,28,36.799999
356,0,142,193,11,801,778,28,40.869999
145,116,119,184,5.7,833,880,28,29.16
359,19,141,154,10.9,942,801,3,25.120001
336.5,0,0,181.899994,3.4,985.799988,816.799988,28,44.869999
336,0,0,182,3,986,817,28,44.860001
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,56,51.040001
491,26,123,210,3.9,882,699,7,33.490002
116,173,0,192,0,909.799988,891.900024,28,22.35
427.5,47.5,0,228,0,932,594,7,35.080002
236,0,0,193,0,968,885,365,25.08
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,14,24.450001
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,28,40.23
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,28,68.5
302,0,0,203,0,974,817,28,21.75
153.100006,145,113,178.5,8,867.200012,824,28,26.23
228,342.100006,0,185.699997,0,955.799988,674.299988,7,21.92
236,157,0,192,0,972.599976,749.099976,3,13.57
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56,77.300003
376,0,0,214.600006,0,1003.5,762.400024,100,43.060001
382.5,0,0,185.699997,0,1047.800049,739.299988,7,24.07
303.600006,139.899994,0,213.5,6.2,895.5,722.5,28,33.419998
405,0,0,175,0,1120,695,28,52.299999
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,14,26.049999
362.600006,189,0,164.899994,11.6,944.700012,755.799988,7,22.9
298,0,107,210,11,880,744,28,31.870001
200,133,0,192,0,965.400024,806.200012,28,30.440001
425,106.300003,0,151.399994,18.6,936,803.700012,56,64.900002
359,19,141,154,10.9,942,801,3,23.639999
250,180,95,159,9.5,860,800,28,67.870003
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,56,64.900002
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91,79.300003
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,3,14.94
139.699997,163.899994,127.699997,236.699997,5.8,868.599976,655.599976,28,35.23
141.899994,166.600006,129.699997,173.5,10.9,882.599976,785.299988,28,44.610001
157,214,152,200,9,819,704,28,33.049999
159,187,0,176,11,990,789,28,32.759998
